Instrument,Statut,Cours_Reference,Ouverture,Dernier_Cours,Quantite_Echangee,Volume,Variation_Pourcentage,Plus_Haut_Jour,Plus_Bas_Jour,Meilleur_Prix_Achat,Meilleur_Prix_Vente,Quantite_Meilleur_Prix_Achat,Quantite_Meilleur_Prix_Vente,Capitalisation,Nombre_Transactions,Ticker,Company,Last Price,Timestamp
SOTHEMA,T,"1 794,00","1 780,00","1 780,00",2 000,"3 560 000,00","-0,78 %","1 780,00","1 780,00","1 772,00","1 795,00",2,147,"12 816 000 000,00",1,SOTHEMA,SOTHEMA,"1 780,00",2025-10-23 13:29:35
MED PAPER,T,"29,39","29,40","29,15",265,"7 745,11","-0,82 %","29,40","29,10","29,10","29,15",7,54,"139 448 440,45",9,MED PAPER,MED PAPER,"29,15",2025-10-23 13:29:35
DIAC SALAF,S,"26,25",-,"26,25",-,-,"0,00 %",-,-,-,-,-,-,"27 651 855,00",-,DIAC SALAF,DIAC SALAF,"26,25",2025-10-23 13:29:35
EQDOM,N.T,"1 250,00",-,"1 250,00",-,-,"0,00 %",-,-,"1 230,00","1 250,00",50,25,"2 087 812 500,00",-,EQDOM,EQDOM,"1 250,00",2025-10-23 13:29:35
MAGHREBAIL,N.T,"949,00",-,"949,00",-,-,"0,00 %",-,-,"907,00","947,00",134,3,"1 313 588 718,00",-,MAGHREBAIL,MAGHREBAIL,"949,00",2025-10-23 13:29:35
MAROC LEASING,N.T,"379,00",-,"379,00",-,-,"0,00 %",-,-,"356,10","382,00",10,15,"1 052 395 072,00",-,MAROC LEASING,MAROC LEASING,"379,00",2025-10-23 13:29:35
SALAFIN,N.T,"680,00",-,"680,00",-,-,"0,00 %",-,-,"585,40","628,00",5,80,"2 124 400 920,00",-,SALAFIN,SALAFIN,"680,00",2025-10-23 13:29:35
DELTA HOLDING,T,"81,00","81,48","79,90",2 537,"202 892,99","-1,36 %","81,90","79,00","79,90","80,00",151,2,"6 999 240 000,00",47,DELTA HOLDING,DELTA HOLDING,"79,90",2025-10-23 13:29:35
ZELLIDJA S.A,N.T,"231,90",-,"231,90",-,-,"0,00 %",-,-,"218,00","263,00",14,10,"132 843 683,10",-,ZELLIDJA S.A,ZELLIDJA S.A,"231,90",2025-10-23 13:29:35
ITISSALAT AL-MAGHRIB,T,"121,00","120,00","117,20",93 678,"11 069 859,45","-3,14 %","120,50","117,15","117,25","117,85",130,498,"103 029 973 848,00",218,ITISSALAT AL-MAGHRIB,ITISSALAT AL-MAGHRIB,"117,20",2025-10-23 13:29:35
CTM,T,"910,00","915,00","924,90",93,"85 506,80","1,64 %","924,90","915,00","904,00","947,00",71,3,"1 133 907 052,20",10,CTM,CTM,"924,90",2025-10-23 13:29:35
AKDITAL,T,"1 366,00","1 370,00","1 363,00",4 441,"6 051 562,00","-0,22 %","1 370,00","1 350,00","1 359,00","1 362,00",45,2,"19 298 999 141,00",113,AKDITAL,AKDITAL,"1 363,00",2025-10-23 13:29:35
VICENNE,T,"500,10","502,90","499,80",10 657,"5 276 077,95","-0,06 %","504,00","490,40","496,00","499,80",140,334,"5 127 373 230,00",321,VICENNE,VICENNE,"499,80",2025-10-23 13:29:35
CMGP GROUP,T,"396,90","398,90","392,00",2 277,"891 052,95","-1,23 %","398,90","386,80","391,00","393,00",35,105,"6 664 352 800,00",44,CMGP GROUP,CMGP GROUP,"392,00",2025-10-23 13:29:35
